"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"17123","ly26255",12603,13343148,8,"S","N","O","M","B","1","Y",24,1
"17124","ky32229",20910,15032060,NA,"M","","","B","F","3","Y",26,1
"17125","by25961",60124,12907860,NA,"S","","","","","3","Y",36,2
"17126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17127","fy25905",2184,11707396,NA,"","","","","","","",NA,NA
"17128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17129","iy48053",2186,19509649,11,"S","Y","O","","H","1","Y",38,2
"17130","dx95808",20002,10615448,1,"M","N","R","S","H","4","M",58,1
"17131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17132","nx44968",1516,3388037,NA,"","","","","","","",NA,NA
"17133","zy50837",22314,20120260,NA,"S","","","","","1","M",62,NA
"17134","hy41801",2777,13841470,9,"S","","","B","F","1","M",30,2
"17135","fy26990",46228,13548572,1,"S","Y","O","M","E","1","Y",40,1
"17136","ox78504",7079,7176737,8,"S","N","O","M","H","2","Y",38,1
"17137","ny51345",11754,20249330,11,"S","Y","O","S","F","1","Y",42,NA
"17138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17139","uy48203",19107,19488403,NA,"M","","","B","E","1","Y",32,3
"17140","xy23735",6082,12808049,6,"S","Y","O","A","H","1","M",38,2
"17141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17143","gx75162",2043,6762348,12,"S","Y","O","M","H","1","M",54,2
"17144","sy26155",6471,8164956,8,"S","Y","O","M","H","1","Y",46,1
"17145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17146","vy46301",2114,19239296,12,"S","N","O","M","F","1","F",36,2
"17147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17149","sy26370",60605,13378249,12,"S","Y","O","M","E","1","Y",54,3
"17150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17151","cy25908",2121,13155862,NA,"","","","","","","",NA,NA
"17152","sy41798",11901,14354136,3,"S","N","O","S","H","1","F",38,2
"17153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17154","vy26337",11757,13373998,NA,"","","","","","","",NA,NA
"17155","iy51190",46260,20203388,3,"S","","O","S","D","1","Y",NA,NA
"17156","ex73354",60647,6526096,12,"S","N","O","M","H","1","F",64,2
"17157","mx81255",8527,7495060,9,"S","N","O","M","H","2","Y",64,1
"17158","wy34259",60614,15428976,4,"M","","O","S","E","3","Y",28,1
"17159","ey18890",20902,11710637,NA,"S","Y","O","M","H","1","F",32,2
"17160","uy40606",19001,18043788,8,"S","N","O","M","D","1","Y",44,1
"17161","wx82235",20024,7705776,NA,"","","","","","","M",NA,NA
"17162","by33879",8876,15362348,12,"S","Y","O","M","F","1","F",44,3
"17163","ay40491",21117,18014903,4,"S","Y","O","","B","3","Y",28,2
"17164","ux76174",6489,6781648,5,"S","Y","O","M","F","1","M",32,2
"17165","wy22850",10704,12653348,8,"S","N","O","A","A","3","Y",50,NA
"17166","sx68789",60614,6028762,NA,"","","","","","","Y",NA,NA
"17167","iy40831",6457,18083037,6,"M","","R","S","H","1","",70,1
"17168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17169","uy48146",46239,19522876,NA,"S","","O","","B","1","Y",24,NA
"17170","qx84389",2171,7953672,13,"S","","O","M","H","1","Y",46,NA
"17171","ny24565",7631,12944562,13,"S","Y","O","M","A","1","F",58,3
"17172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17174","oy51101",6877,20190596,12,"S","Y","O","M","H","1","F",40,2
"17175","zy46132",60622,19202530,NA,"M","","","M","F","3","Y",NA,NA
"17176","ty25905",6510,13253370,11,"S","N","O","M","A","3","F",60,1
"17177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17178","gy43825",19010,18791876,NA,"","","","","","","M",NA,NA
"17179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17180","zx64663",60640,5485049,3,"M","Y","O","M","","3","Y",52,1
"17181","dy48248",53154,19540972,NA,"","","","","","","",NA,NA
"17182","ky40912",6512,18109037,NA,"","","","","","","",NA,NA
"17183","rx98344",10805,9839048,NA,"","","","","","","",NA,NA
"17184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17186","oy48016",10308,19502872,9,"S","N","O","S","C","1","M",60,1
"17187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17188","sy50681",11746,20075636,8,"S","Y","O","M","G","1","F",82,NA
"17189","my40327",22207,17971270,11,"S","Y","O","A","F","1","M",36,1
"17190","ky50387",8742,19933370,NA,"","","","","","","",NA,NA
"17191","dy49280",22311,11782537,12,"S","","O","M","G","3","M",56,NA
"17192","mx88797",11720,8619730,NA,"","","","","","","F",NA,NA
"17193","fy28155",10701,13956798,13,"S","","O","S","D","3","M",56,NA
"17194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17195","ry47618",6450,19437972,NA,"","","","","","","M",NA,NA
"17196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17197","iy36644",2871,15992536,11,"S","Y","O","M","","1","F",40,3
"17198","vy49651",60089,19822362,NA,"","","","","","","M",NA,NA
"17199","hy40161",11697,17927960,10,"S","Y","O","S","H","1","M",58,1
"17200","rx91392",3833,9358837,10,"S","","O","A","G","1","M",42,NA
"17201","ix23130",60056,2142056,NA,"","","","","","","",NA,NA
"17202","wx73884",6410,6584896,NA,"","","","","","","",NA,NA
"17203","uy24265",10701,12645836,4,"M","","","S","H","4","",32,NA
